statement_group,frequency,statement_basis,item_code,item_name,mapping_status,source_table,source_account_code
cash_flow,annual,consolidated,M000901044,무형자산상각비(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001410600
cash_flow,annual,consolidated,M000909001,영업활동으로인한현금흐름(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001410000
cash_flow,annual,consolidated,M000909002,당기순손익(법인세차감전순손익)(천원),ambiguous_multi_account,DW_FNG_연결재무제표,4001290180
cash_flow,annual,consolidated,M000909002,당기순손익(법인세차감전순손익)(천원),ambiguous_multi_account,DW_FNG_연결재무제표,4001290200
cash_flow,annual,consolidated,M000909002,당기순손익(법인세차감전순손익)(천원),ambiguous_multi_account,DW_FNG_연결재무제표,4001410100
cash_flow,annual,consolidated,M000909004,현금유출이없는비용의가산(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001410200
cash_flow,annual,consolidated,M000909005,Cash Earnings(TTM)(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909006,유가증권관련손실(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909007,관계회사등투자손실(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909008,현금유입이없는수익의차감(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001413000
cash_flow,annual,consolidated,M000909009,유가증권관련이익(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909010,관계회사등투자이익(천원),ambiguous_multi_account,DW_FNG_연결재무제표,4001242100
cash_flow,annual,consolidated,M000909010,관계회사등투자이익(천원),ambiguous_multi_account,DW_FNG_연결재무제표,4001414400
cash_flow,annual,consolidated,M000909011,Cash Earnings(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909012,영업활동으로인한자산및부채의변동(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909013,영업활동으로인한자산의감소(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909014,영업활동으로인한부채의증가(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001416900
cash_flow,annual,consolidated,M000909015,투자활동으로인한현금흐름(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001430000
cash_flow,annual,consolidated,M000909016,투자활동으로인한현금유입액(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001430100
cash_flow,annual,consolidated,M000909017,투자활동으로인한현금유출액(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001432600
cash_flow,annual,consolidated,M000909018,재무활동으로인한현금흐름(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001440000
cash_flow,annual,consolidated,M000909019,재무활동으로인한현금유입액(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001440100
cash_flow,annual,consolidated,M000909020,장단기금융부채의증가(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001440100
cash_flow,annual,consolidated,M000909021,자본의증가(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909022,재무활동으로인한현금유출액(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909023,장단기금융부채의감소(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001442500
cash_flow,annual,consolidated,M000909024,자본의감소(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909025,영업투자재무활동기타현금흐름(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909027,환율변동효과(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001450000
cash_flow,annual,consolidated,M000909028,현금의증가(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001460000
cash_flow,annual,consolidated,M000909029,기초현금(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001460100
cash_flow,annual,consolidated,M000909030,기말현금(천원),ambiguous_multi_account,DW_FNG_연결재무제표,4001110300
cash_flow,annual,consolidated,M000909030,기말현금(천원),ambiguous_multi_account,DW_FNG_연결재무제표,4001111000
cash_flow,annual,consolidated,M000909030,기말현금(천원),ambiguous_multi_account,DW_FNG_연결재무제표,4001460200
cash_flow,annual,consolidated,M000909032,매출채권및기타채권의감소(증가)(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909033,재고자산의감소(증가)(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001416700
cash_flow,annual,consolidated,M000909034,매입채무및기타채무의증가(감소)(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909035,"법인세납부(영업,투자,재무)(천원)",no_exact_match,,
cash_flow,annual,consolidated,M000909036,유형자산처분(취득)(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909037,무형자산감소(증가)(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909038,장단기금융자산의감소(증가)(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909039,기타투자활동으로인한현금흐름(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909040,장단기금융부채의증가(감소)(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909041,"배당금지급(영업,투자,재무)(천원)",no_exact_match,,
cash_flow,annual,consolidated,M000909042,기타재무활동으로인한현금흐름(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909043,현금유출입이없는비용(수익)(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909045,장기금융부채의증가(감소)(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909046,단기금융부채의증가(감소)(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001440200
cash_flow,annual,consolidated,M000909047,기타영업자산및부채의변동(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909048,장기금융자산의감소(증가)(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909049,단기금융자산의감소(증가)(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909051,기타현금흐름(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001450000
cash_flow,annual,consolidated,M000909052,자본의증가(감소)(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909053,법인세비용(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001290100
cash_flow,annual,consolidated,M000909054,이자비용(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909055,외환손실(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909056,이자수익(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909057,외환이익(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909058,외화환산순손실(이익)(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909059,"이자수취(영업,투자,재무)(천원)",no_exact_match,,
cash_flow,annual,consolidated,M000909060,"이자지급(영업,투자,재무)(천원)",no_exact_match,,
cash_flow,annual,consolidated,M000909061,Cash Earnings(보통)(천원),no_exact_match,,
cash_flow,annual,consolidated,M000909062,"Cash Earnings(보통, TTM)(천원)",no_exact_match,,
cash_flow,annual,consolidated,M000909063,영업활동으로인한현금흐름(TTM)(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001410000
cash_flow,annual,consolidated,M000909101,영업활동으로인한현금흐름(평균)(천원),no_exact_match,,
cash_flow,annual,consolidated,M000911002,감가상각비(현금흐름표)(천원),no_exact_match,,
cash_flow,annual,consolidated,M000911043,유형자산감가상각비(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001410500
cash_flow,annual,consolidated,M000993001,"감가상각비(현금흐름표, TTM)(천원)",no_exact_match,,
cash_flow,annual,consolidated,M000993002,유형자산감가상각비(TTM)(천원),clean_exact_single_account,DW_FNG_연결재무제표,4001410500
cash_flow,annual,consolidated,M000993004,*유형자산순취득액(C/F)(천원),no_exact_match,,
cash_flow,annual,consolidated,M000993005,*무형자산순취득액(C/F)(천원),no_exact_match,,
cash_flow,annual,consolidated,M000993006,"배당금수취(영업,투자,재무)(천원)",no_exact_match,,
cash_flow,annual,consolidated,M000993007,"법인세환급(영업,투자,재무)(천원)",no_exact_match,,
cash_flow,annual,consolidated,M000993008,연결범위변동으로인한현금의증가(천원),no_exact_match,,
cash_flow,annual,separate,3000901044,무형자산상각비(천원),clean_exact_single_account,DW_FNG_재무제표,1001410600
cash_flow,annual,separate,3000909001,영업활동으로인한현금흐름(천원),clean_exact_single_account,DW_FNG_재무제표,1001410000
cash_flow,annual,separate,3000909002,당기순손익(법인세차감전순손익)(천원),ambiguous_multi_account,DW_FNG_재무제표,1001167200
cash_flow,annual,separate,3000909002,당기순손익(법인세차감전순손익)(천원),ambiguous_multi_account,DW_FNG_재무제표,1001290180
cash_flow,annual,separate,3000909002,당기순손익(법인세차감전순손익)(천원),ambiguous_multi_account,DW_FNG_재무제표,1001290200
cash_flow,annual,separate,3000909002,당기순손익(법인세차감전순손익)(천원),ambiguous_multi_account,DW_FNG_재무제표,1001312100
cash_flow,annual,separate,3000909002,당기순손익(법인세차감전순손익)(천원),ambiguous_multi_account,DW_FNG_재무제표,1001410100
cash_flow,annual,separate,3000909002,당기순손익(법인세차감전순손익)(천원),ambiguous_multi_account,DW_FNG_재무제표,1001541400
cash_flow,annual,separate,3000909004,현금유출이없는비용의가산(천원),clean_exact_single_account,DW_FNG_재무제표,1001410200
