exchange,contract,first_observation,last_trade
CZCE,AP1805,2017-12-22,2018-05-15
CZCE,AP1807,2017-12-22,2018-07-13
CZCE,AP1810,2017-12-22,2018-10-19
CZCE,AP1811,2017-12-22,2018-11-14
CZCE,AP1812,2017-12-22,2018-12-14
CZCE,AP1901,2018-01-16,2019-01-15
CZCE,AP1903,2018-03-15,2019-03-14
CZCE,AP1905,2018-05-16,2019-05-17
CZCE,AP1907,2018-07-16,2019-07-12
CZCE,AP1910,2018-10-22,2019-10-21
CZCE,AP1911,2018-11-15,2019-11-14
CZCE,AP1912,2018-12-17,2019-12-13
CZCE,AP2001,2019-01-16,2020-01-15
CZCE,AP2003,2019-03-15,2020-03-13
CZCE,AP2005,2019-05-20,2020-05-19
CZCE,AP2007,2019-07-15,2020-07-14
CZCE,AP2010,2019-10-22,2020-10-22
CZCE,AP2011,2019-11-15,2020-11-13
CZCE,AP2012,2019-12-16,2020-12-14
CZCE,AP2101,2020-01-16,2021-01-15
CZCE,AP2103,2020-03-16,2021-03-12
CZCE,AP2105,2020-05-20,2021-05-19
CZCE,AP2110,2020-10-23,2021-10-21
CZCE,AP2111,2020-11-16,2021-11-12
CZCE,AP2112,2020-12-15,2021-12-14
CZCE,AP2201,2021-01-18,2022-01-17
CZCE,AP2203,2021-03-15,2022-03-14
CZCE,AP2204,2021-04-16,2022-04-18
CZCE,AP2205,2021-05-20,2022-05-18
CZCE,AP2210,2021-10-22,2022-10-21
CZCE,AP2211,2021-11-15,2022-11-14
CZCE,AP2212,2021-12-15,2022-12-14
CZCE,AP2301,2022-01-18,2023-01-16
CZCE,AP2303,2022-03-15,2023-03-14
CZCE,AP2304,2022-04-19,2023-04-17
CZCE,AP2305,2022-05-19,2023-05-17
CZCE,AP2310,2022-10-24,2023-10-20
CZCE,AP2311,2022-11-15,2023-11-14
CZCE,AP2312,2022-12-15,2023-12-14
CZCE,AP2401,2023-01-17,2024-01-15
CZCE,AP2403,2023-03-15,2024-03-14
CZCE,AP2404,2023-04-18,2024-04-16
